user_id,establishment_id,product_name,rating
136,Super Maia - Taguatinga,Alface,3
97,Pão de Açúcar - Asa Norte,Berinjela,3
189,Extra - Asa Sul,Morango,2
125,Feira do Produtor de São Sebastião,Agrião,3
33,Feira do Produtor de Samambaia,Cebola,4
102,Atacadão - Taguatinga,Brócolis,3
133,Feira do Produtor de Taguatinga,Cenoura,3
28,Feira do Produtor do Guará,Banana,2
146,Feira do Produtor do Sudoeste,Coco,4
121,CEASA-DF,Beterraba,3
132,Comper - Águas Claras,Tangerina,4
122,Assaí Atacadista - Taguatinga,Maracujá,3
1,Assaí Atacadista - Ceilândia,Pepino,2
126,Associação dos Produtores de Hortigranjeiros do Distrito Federal (Asphor),Jiló,4
93,"Cooperativa de Trabalho, Consultoria, Instrutoria e Serviços para o Desenvolvimento Agropecuário, Econômico e Social (Agrocoop)",Pepino,4
17,Associação dos Produtores da Agricultura Familiar (Aspaf),Abóbora,4
183,Cooperativa Agrícola da Região de Planaltina (Cootaquara),Graviola,4
104,Carrefour - Águas Claras,Mandioca,4
25,Extra - Asa Norte,Limão,2
191,CEASA-DF,Pimentão,3
156,Feira do Produtor do Guará,Pimentão,3
89,Atacadão - Taguatinga,Pitaia,2
197,Extra - Asa Sul,Lichia,3
80,Assaí Atacadista - Taguatinga,Goiaba,4
13,Cooperativa de Agricultura Familiar Mista do Distrito Federal (Coopermista),Coco,2
71,Associação dos Produtores de Hortigranjeiros do Distrito Federal (Asphor),Cenoura,5
107,Feira do Produtor do Riacho Fundo II,Berinjela,4
149,Feira do Produtor do Guará,Pimentão,3
74,Feira do Produtor do Recanto das Emas,Pimentão,3
165,Pão de Açúcar - Asa Sul,Atemóia,4
194,Associação dos Produtores Rurais de Alexandre Gusmão (Asspag),Banana,4
130,Feira do Produtor de Águas Claras,Chuchu,2
189,Extra - Asa Sul,Goiaba,3
190,Feira do Produtor da Estrutural,Quiabo,4
80,Associação dos Produtores de Hortigranjeiros do Distrito Federal (Asphor),Graviola,5
114,Feira do Produtor do Paranoá,Cenoura,4
121,Atacadão - Taguatinga,Beterraba,3
18,Atacadão - Ceilândia,Pitaia,4
2,Associação dos Trabalhadores Rurais da Agricultura Familiar do Assentamento Chapadinha (Astraf),Cebola,4
35,Feira do Produtor de São Sebastião,Repolho,4
180,Feira do Produtor do Sudoeste,Morango,2
176,Super Maia - Sobradinho,Abacate,5
72,Feira do Produtor do Gama,Coco,3
140,Feira do Produtor do Núcleo Bandeirante,Uva,3
105,Associação dos Produtores de Hortigranjeiros do Distrito Federal (Asphor),Brócolis,4
197,Sam's Club - Asa Norte,Coco,3
142,Feira do Produtor do Riacho Fundo II,Goiaba,5
61,Cooperativa Mista da Agricultura Familiar do Meio Ambiente e da Cultura do Brasil (Coopbrasil),Pimentão,3
29,Comper - Sudoeste,Coco,3
138,Cooperativa Agropecuária e Industrial do Rio Preto (Coopari),Brócolis,4
126,Feira do Produtor de Santa Maria,Chuchu,4
9,Feira do Produtor de Ceilândia,Graviola,4
185,Cooperativa dos Produtores Rurais do PAD-DF (Coopadf),Mamão,2
78,Super Maia - Taguatinga,Atemóia,5
33,Supercei - Ceilândia,Alface,4
132,Atacadão - Taguatinga,Mamão,4
125,Associação dos Produtores Rurais Orgânicos e Convencionais do Distrito Federal e Entorno (Asproc),Pitaia,3
10,Assaí Atacadista - Taguatinga,Pimentão,4
91,Associação dos Produtores Rurais Orgânicos e Convencionais do Distrito Federal e Entorno (Asproc),Manga,3
115,Cooperativa Agropecuária e Industrial do Rio Preto (Coopari),Uva,3
24,Cooperativa Agrícola da Região de Planaltina (Cootaquara),Tangerina,3
189,Supercei - Ceilândia,Repolho,3
68,Feira do Produtor do Lago Norte,Coco,3
162,Cooperativa Mista da Agricultura Familiar do Meio Ambiente e da Cultura do Brasil (Coopbrasil),Pimentão,4
10,Comper - Sudoeste,Banana,4
95,Extra - Asa Norte,Cenoura,3
133,Feira do Produtor do Núcleo Bandeirante,Jiló,3
98,Comper - Águas Claras,Repolho,4
106,Mercado Orgânico do CEASA,Tomate,4
138,Cooperativa Mista da Agricultura Familiar do Meio Ambiente e da Cultura do Brasil (Coopbrasil),Repolho,5
112,Feira do Produtor do Lago Norte,Couve,4
141,Associação dos Produtores Rurais Novo Horizonte Betinho (Aspronte),Cenoura,4
99,Feira do Produtor do Cruzeiro,Cajamanga,3
155,Feira do Produtor do Park Way,Limão,4
135,"Cooperativa de Trabalho, Consultoria, Instrutoria e Serviços para o Desenvolvimento Agropecuário, Econômico e Social (Agrocoop)",Pitaia,4
39,Feira do Produtor da Candangolândia,Pitaia,4
155,Supercei - Sobradinho,Agrião,4
105,Associação dos Produtores da Agricultura Familiar (Aspaf),Coco,4
165,Feira do Produtor do Itapoã,Repolho,4
26,Feira do Produtor da Candangolândia,Goiaba,4
77,Comper - Sudoeste,Abóbora,4
168,CEASA-DF,Pitaia,4
166,Associação dos Trabalhadores Rurais da Agricultura Familiar do Assentamento Chapadinha (Astraf),Banana,3
44,Feira do Produtor da Estrutural,Tomate,3
49,Comper - Águas Claras,Batata,3
5,Assaí Atacadista - Ceilândia,Limão,3
84,Cooperativa de Agricultura Familiar Mista do Distrito Federal (Coopermista),Morango,4
62,Feira do Produtor de Samambaia,Mamão,2
99,Associação dos Produtores Rurais Novo Horizonte Betinho (Aspronte),Maracujá,3
157,Atacadão - Taguatinga,Mamão,5
113,Feira do Produtor do Riacho Fundo,Pimentão,4
185,Atacadão - Ceilândia,Batata,3
184,Feira do Produtor de Taguatinga,Pimentão,5
128,Extra - Asa Norte,Batata,4
107,Comper - Águas Claras,Cebola,4
105,CEASA-DF,Cajamanga,4
145,Cooperativa de Produção Agropecuária dos Assentados e Pequenos Produtores Rurais do Distrito Federal e Entorno (Coopercal),Cajamanga,3
155,Supercei - Sobradinho,Limão,3
74,Associação dos Produtores Rurais Orgânicos e Convencionais do Distrito Federal e Entorno (Asproc),Gengibre,2
158,Feira do Produtor do Lago Sul,Limão,3
112,Pão de Açúcar - Asa Sul,Abacate,4
84,Feira do Produtor do Sudoeste,Repolho,3
166,Pão de Açúcar - Asa Norte,Goiaba,4
176,Feira do Produtor do Lago Norte,Quiabo,4
34,Comper - Sudoeste,Cenoura,3
88,Feira do Produtor do Park Way,Maracujá,2
64,Feira da Agricultura Familiar - Plano Piloto,Batata,3
17,Cooperativa dos Produtores Rurais de Brazlândia (Coopabra),Tangerina,5
82,"Associação Mista dos Agricultores Familiares, Orgânicos e Produtores Rurais do DF e Entorno (Amista)",Morango,2
43,Associação dos Produtores de Hortigranjeiros do Distrito Federal (Asphor),Brócolis,4
174,Feira do Produtor de Sobradinho,Cebola,3
66,CEASA-DF,Chuchu,4
99,Feira do Produtor do Sudoeste,Lichia,2
198,Feira do Produtor de São Sebastião,Agrião,4
73,Associação dos Produtores Rurais Novo Horizonte Betinho (Aspronte),Tomate,3
200,Associação dos Produtores Rurais Novo Horizonte Betinho (Aspronte),Chuchu,2
167,Assaí Atacadista - Taguatinga,Jiló,5
189,Feira do Produtor do Cruzeiro,Brócolis,3
26,Feira do Produtor do Lago Sul,Cajamanga,4
33,Feira do Produtor do Itapoã,Maracujá,5
190,Feira do Produtor do Paranoá,Brócolis,4
195,Feira do Produtor do Riacho Fundo,Batata,3
117,Cooperativa de Agricultura Familiar Mista do Distrito Federal (Coopermista),Beterraba,4
37,Associação dos Produtores Rurais de Alexandre Gusmão (Asspag),Abacate,4
168,Cooperativa de Agricultura Familiar Mista do Distrito Federal (Coopermista),Goiaba,4
66,Feira do Produtor de Ceilândia,Tangerina,3
53,Pão de Açúcar - Asa Sul,Atemóia,4
97,Supercei - Taguatinga,Banana,5
142,Comper - Águas Claras,Pepino,4
86,Feira do Produtor do Itapoã,Tangerina,4
155,CEASA-DF,Pepino,4
173,CEASA-DF,Batata,4
136,Feira do Produtor do Varjão,Tangerina,3
135,Cooperativa Agrícola da Região de Planaltina (Cootaquara),Tangerina,3
19,Feira do Produtor do Riacho Fundo II,Manga,3
11,Super Maia - Taguatinga,Cajamanga,3
124,Feira do Produtor de São Sebastião,Uva,4
35,Associação Agrícola do Distrito Federal e Ride (Agrifam),Lichia,4
165,Comper - Sudoeste,Cenoura,4
6,Feira do Produtor do Jardim Botânico,Uva,4
144,CEASA-DF,Lichia,4
75,Feira do Produtor do Park Way,Berinjela,3
198,Feira do Produtor do Riacho Fundo II,Limão,2
38,Supercei - Sobradinho,Tomate,4
37,Feira do Produtor de Sobradinho,Chuchu,3
194,Cooperativa Mista da Agricultura Familiar do Meio Ambiente e da Cultura do Brasil (Coopbrasil),Limão,4
176,Feira do Produtor do Lago Norte,Graviola,4
4,Associação dos Produtores de Hortigranjeiros do Distrito Federal (Asphor),Cebola,3
114,Associação dos Produtores Rurais de Alexandre Gusmão (Asspag),Berinjela,5
124,Feira do Produtor do Park Way,Lichia,4
